"Abilene, TX ","Callahan, TX"
"Washington-Arlington-Alexandria, DC-VA-MD-WV ","District of Columbia, DC"
"Washington-Arlington-Alexandria, DC-VA-MD-WV ","Calvert, MD"
"Washington-Arlington-Alexandria, DC-VA-MD-WV ","Charles, MD"
"Washington-Arlington-Alexandria, DC-VA-MD-WV ","Frederick, MD"
"Washington-Arlington-Alexandria, DC-VA-MD-WV ","Montgomery, MD"
"Washington-Arlington-Alexandria, DC-VA-MD-WV ","Prince George's, MD"
"Washington-Arlington-Alexandria, DC-VA-MD-WV ","Arlington, VA"
"Washington-Arlington-Alexandria, DC-VA-MD-WV ","Clarke, VA"
"Washington-Arlington-Alexandria, DC-VA-MD-WV ","Culpeper, VA"
"Washington-Arlington-Alexandria, DC-VA-MD-WV ","Fauquier, VA"
"Washington-Arlington-Alexandria, DC-VA-MD-WV ","Loudoun, VA"
"Washington-Arlington-Alexandria, DC-VA-MD-WV ","Madison, VA"
"Washington-Arlington-Alexandria, DC-VA-MD-WV ","Rappahannock, VA"
"Washington-Arlington-Alexandria, DC-VA-MD-WV ","Stafford, VA"
"Washington-Arlington-Alexandria, DC-VA-MD-WV ","Warren, VA"
"Washington-Arlington-Alexandria, DC-VA-MD-WV ","Alexandria (Independent City), VA"
"Washington-Arlington-Alexandria, DC-VA-MD-WV ","Fairfax, Fairfax City + Falls Church, VA"
"Washington-Arlington-Alexandria, DC-VA-MD-WV ","Prince William, Manassas + Manassas Park, VA"
"Washington-Arlington-Alexandria, DC-VA-MD-WV ","Spotsylvania + Fredericksburg, VA"
"Washington-Arlington-Alexandria, DC-VA-MD-WV ","Jefferson, WV"
"Waterloo-Cedar Falls, IA ","Black Hawk, IA"
"Waterloo-Cedar Falls, IA ","Bremer, IA"
"Waterloo-Cedar Falls, IA ","Grundy, IA"
"Watertown-Fort Drum, NY ","Jefferson, NY"
"Wausau-Weston, WI ","Lincoln, WI"
"Wausau-Weston, WI ","Marathon, WI"
"Weirton-Steubenville, WV-OH ","Jefferson, OH"
"Weirton-Steubenville, WV-OH ","Brooke, WV"
"Weirton-Steubenville, WV-OH ","Hancock, WV"
"Wenatchee, WA ","Chelan, WA"
"Wenatchee, WA ","Douglas, WA"
"Wheeling, WV-OH ","Belmont, OH"
"Wheeling, WV-OH ","Marshall, WV"
"Wheeling, WV-OH ","Ohio, WV"
"Wichita, KS ","Butler, KS"
"Wichita, KS ","Harvey, KS"
"Wichita, KS ","Sedgwick, KS"
"Wichita, KS ","Sumner, KS"
"Wichita Falls, TX ","Archer, TX"
"Wichita Falls, TX ","Clay, TX"
"Wichita Falls, TX ","Wichita, TX"
"Williamsport, PA ","Lycoming, PA"
"Wilmington, NC ","New Hanover, NC"
"Wilmington, NC ","Pender, NC"
"Winchester, VA-WV ","Frederick + Winchester, VA"
"Winchester, VA-WV ","Hampshire, WV"
"Winston-Salem, NC ","Davidson, NC"
"Winston-Salem, NC ","Davie, NC"
"Winston-Salem, NC ","Forsyth, NC"
"Winston-Salem, NC ","Stokes, NC"
"Winston-Salem, NC ","Yadkin, NC"
"Worcester, MA-CT ","Windham, CT"
"Worcester, MA-CT ","Worcester, MA"
"Yakima, WA ","Yakima, WA"
"York-Hanover, PA ","York, PA"
"Youngstown-Warren-Boardman, OH-PA ","Mahoning, OH"
"Youngstown-Warren-Boardman, OH-PA ","Trumbull, OH"
"Youngstown-Warren-Boardman, OH-PA ","Mercer, PA"
"Yuba City, CA ","Sutter, CA"
"Yuba City, CA ","Yuba, CA"
"Yuma, AZ ","Yuma, AZ"
